ID,Solution,Feature0
107,19.1260951193,107
108,19.0211303259,108
109,18.910371512,109
110,18.7938524157,110
111,18.6716085299,111
112,18.5436770913,112
113,18.410097069,113
114,18.2709091529,114
115,18.1261557407,115
116,17.975880926,116
117,17.8201304838,117
118,17.6589518572,118
119,17.4923941428,119
120,17.3205080757,120
121,17.143346014,121
122,16.9609619231,122
123,16.7734113589,123
124,16.5807514511,124
125,16.3830408858,125
126,16.1803398875,126
127,15.9727102009,127
128,15.7602150721,128
129,15.5429192291,129
130,15.3208888624,130
131,15.0941916045,131
132,14.8628965095,132
133,14.6270740324,133
134,14.3867960068,134
135,14.1421356237,135
136,13.8931674092,136
137,13.6399672012,137
138,13.3826121272,138
139,13.1211805798,139
140,12.8557521937,140
141,12.586407821,141
142,12.3132295065,142
143,12.036300463,143
144,11.7557050458,144
145,11.471528727,145
146,11.1838580694,146
147,10.8927807003,147
148,10.5983852847,148
149,10.3007614982,149
150,10.0,150
151,9.69619240493,151
152,9.38943125572,152
153,9.07980999479,153
154,8.76742293578,154
155,8.45236523481,155
156,8.13473286152,156
157,7.81462256979,157
158,7.49213186832,158
159,7.16735899091,159
160,6.84040286651,160
161,6.51136308914,161
162,6.1803398875,162
163,5.84743409445,163
164,5.51274711634,164
165,5.17638090205,165
166,4.83843791199,166
167,4.49902108688,167
168,4.15823381636,168
169,3.81617990753,169
170,3.47296355334,170
171,3.1286893008,171
172,2.7834620192,172
173,2.4373868681,173
174,2.09056926535,174
175,1.74311485495,175
176,1.39512947488,176
177,1.04671912486,177
178,0.69798993405,178
179,0.349048128746,179
180,2.44929359829e-15,180
181,-0.349048128746,181
182,-0.69798993405,182
183,-1.04671912486,183
184,-1.39512947488,184
185,-1.74311485495,185
186,-2.09056926535,186
187,-2.4373868681,187
188,-2.7834620192,188
189,-3.1286893008,189
190,-3.47296355334,190
191,-3.81617990753,191
192,-4.15823381636,192
193,-4.49902108688,193
194,-4.83843791199,194
195,-5.17638090205,195
196,-5.51274711634,196
197,-5.84743409445,197
198,-6.1803398875,198
199,-6.51136308914,199
200,-6.84040286651,200
201,-7.16735899091,201
202,-7.49213186832,202
203,-7.81462256979,203
204,-8.13473286152,204
205,-8.45236523481,205
206,-8.76742293578,206
207,-9.07980999479,207
208,-9.38943125572,208
209,-9.69619240493,209
210,-10.0,210
211,-10.3007614982,211
212,-10.5983852847,212
213,-10.8927807003,213
214,-11.1838580694,214
215,-11.471528727,215
216,-11.7557050458,216
217,-12.036300463,217
218,-12.3132295065,218
219,-12.586407821,219
220,-12.8557521937,220
221,-13.1211805798,221
222,-13.3826121272,222
223,-13.6399672012,223
224,-13.8931674092,224
225,-14.1421356237,225
226,-14.3867960068,226
227,-14.6270740324,227
228,-14.8628965095,228
229,-15.0941916045,229
230,-15.3208888624,230
231,-15.5429192291,231
232,-15.7602150721,232
233,-15.9727102009,233
234,-16.1803398875,234
235,-16.3830408858,235
236,-16.5807514511,236
237,-16.7734113589,237
238,-16.9609619231,238
239,-17.143346014,239
240,-17.3205080757,240
241,-17.4923941428,241
242,-17.6589518572,242
243,-17.8201304838,243
244,-17.975880926,244
245,-18.1261557407,245
246,-18.2709091529,246
247,-18.410097069,247
248,-18.5436770913,248
249,-18.6716085299,249
250,-18.7938524157,250
251,-18.910371512,251
252,-19.0211303259,252
253,-19.1260951193,253
254,-19.2252339188,254
255,-19.3185165258,255
256,-19.4059145255,256
257,-19.4874012957,257
258,-19.5629520147,258
259,-19.632543669,259
260,-19.6961550602,260
261,-19.7537668119,261
262,-19.8053613748,262
263,-19.8509230328,263
264,-19.8904379074,264
265,-19.9238939618,265
266,-19.9512810052,266
267,-19.9725906951,267
268,-19.9878165404,268
269,-19.9969539031,269
270,-20.0,270
271,-19.9969539031,271
272,-19.9878165404,272
273,-19.9725906951,273
274,-19.9512810052,274
275,-19.9238939618,275
276,-19.8904379074,276
277,-19.8509230328,277
278,-19.8053613748,278
279,-19.7537668119,279
280,-19.6961550602,280
281,-19.632543669,281
282,-19.5629520147,282
283,-19.4874012957,283
284,-19.4059145255,284
285,-19.3185165258,285
286,-19.2252339188,286
287,-19.1260951193,287
288,-19.0211303259,288
289,-18.910371512,289
290,-18.7938524157,290
291,-18.6716085299,291
292,-18.5436770913,292
293,-18.410097069,293
294,-18.2709091529,294
295,-18.1261557407,295
296,-17.975880926,296
297,-17.8201304838,297
298,-17.6589518572,298
299,-17.4923941428,299
300,-17.3205080757,300
301,-17.143346014,301
302,-16.9609619231,302
303,-16.7734113589,303
304,-16.5807514511,304
305,-16.3830408858,305
306,-16.1803398875,306
307,-15.9727102009,307
308,-15.7602150721,308
309,-15.5429192291,309
310,-15.3208888624,310
311,-15.0941916045,311
312,-14.8628965095,312
313,-14.6270740324,313
314,-14.3867960068,314
315,-14.1421356237,315
316,-13.8931674092,316
317,-13.6399672012,317
318,-13.3826121272,318
319,-13.1211805798,319
320,-12.8557521937,320
321,-12.586407821,321
322,-12.3132295065,322
323,-12.036300463,323
324,-11.7557050458,324
325,-11.471528727,325
326,-11.1838580694,326
327,-10.8927807003,327
328,-10.5983852847,328
329,-10.3007614982,329
330,-10.0,330
331,-9.69619240493,331
332,-9.38943125572,332
333,-9.07980999479,333
334,-8.76742293578,334
335,-8.45236523481,335
336,-8.13473286152,336
337,-7.81462256979,337
338,-7.49213186832,338
339,-7.16735899091,339
340,-6.84040286651,340
341,-6.51136308914,341
342,-6.1803398875,342
343,-5.84743409445,343
344,-5.51274711634,344
345,-5.17638090205,345
346,-4.83843791199,346
347,-4.49902108688,347
348,-4.15823381636,348
349,-3.81617990753,349
350,-3.47296355334,350
351,-3.1286893008,351
352,-2.7834620192,352
353,-2.4373868681,353
354,-2.09056926535,354
355,-1.74311485495,355
356,-1.39512947488,356
357,-1.04671912486,357
358,-0.69798993405,358
359,-0.349048128746,359
